id,question,level_1_knowledge,level_2_knowledge,level_3_knowledge,level_4_knowledge,level_5_knowledge,level_6_knowledge,level_7_knowledge,level_8_knowledge,level_9_knowledge
2802,"如圖，已知$∠E=∠F=90°$，點$B$,$C$分別在$AE$,$AF$上，$AB=AC$，$BD=CD$．",029210400000000,029210405000000,029210405040000,029210400000000,029210407000000,029210407020000,029210400000000,029210406000000,029210406080000
2803,如圖，$∠ABC$的平分線與$∠ACB$的外角平分線相交於點$D$，連接$AD$．求證：$AD$是$∠BAC$的外角平分線,029210400000000,029210405000000,029210405040000,029210400000000,029210407000000,029210407020000,029210400000000,029210406000000,029210406080000
2804,"如圖，$P$為$▲ABC$外角$∠CBM$,$∠BCN$的平分線的交點，$PD⊥BC$，$PE⊥AB$,$PF⊥AC$,垂足分別為$D$，$E$，$F$．",029210400000000,029210404100000,029210404120000,029210400000000,029210406000000,029210406080000,029210400000000,029210404000000,029210404060000
2805,如圖，四邊形$ABCD$中，$∠C=∠ABC=90°$，點$O$為$BC$的中點，且$AO$平分∠BAD，$OE⊥AD$，垂足為$E$．,029210400000000,029210404000000,029210404060000,029210400000000,029210405000000,029210405040000,029210400000000,029210405000000,029210405050000
2806,下列图形中，是中心对称图形的是,029210300000000,029210301000000,029210301050000,029210300000000,029210301000000,029210301020000,029210300000000,029210301000000,029210301010000
2807,已知$a<b$，则下列不等式不成立的是,029210300000000,029210302000000,029210302030000,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202060000
2808,在平面直角坐标系中，将点$A(-3，2)$向右平移3个单位长度后的坐标是,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301020000,029210300000000,029210301000000,029210301060000
2809,用下列一种正多边形瓷砖铺设地面，不能镶嵌整个平面的图形是,029210300000000,029210303000000,029210303030000,029210300000000,029210301000000,029210301010000,029210300000000,029210303000000,029210303060000
2810,下列各式从左到右的变形中，属于因式分解的是,029210200000000,029210205000000,029210205040000,029210200000000,029210201000000,029210201060000,029210200000000,029210205000000,029210205010000
2811,"用反证法证明“若$x^2$不等于$y^2$,则$x≠y$”时，应首先假设",029210200000000,029210204000000,029210204050000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2812,"$△ABC$为等边三角形,点?$D$在线段?$BC$上,且$∠BAD=20°$,则$∠ADC?$的度数是",029210400000000,029210407000000,029210407050000,029210400000000,029210401000000,029210401010000,029210400000000,029210401000000,029210401020000
2813,"从整式2400,$x^2$,$2x-y$ 中任意选取两个分别作为分子和分母，则能构成分式的个数为",029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210205000000,029210205070000
2814,"如题9图,在$△ABC$中,点$D$,$E$分别为$AB$,$AC$中点,将线段$BD$绕点$B$旋转到$BC$边上,点$D$的对应点为点$F$.?若?$DE=4cm$，$BD=3cm$,则?$CF$的长度为",029210400000000,029210404000000,029210404050000,029210300000000,029210301000000,029210301010000,029210400000000,029210404000000,029210404010000
2815,"不等式组$x-2a<=2$,$x/3-b>2/3$  的解集如题10图所示，则代数式$(a+2)(b-1)$的值为",029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202060000
2816,五边形的外角和为?????.,029210400000000,029210401100000,029210401130000,029210400000000,029210401100000,029210401110000,029210400000000,029210401000000,029210401010000
2817,若分式$x-1/x+3$的值为0，则$x$的值为         .,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210205000000,029210205070000
2818,定理“平行四边形的对角相等”的逆命题是? ? ? ? ? ? ? ??.,029210400000000,029210408000000,029210408020000,029210400000000,029210408000000,029210408030000,029210400000000,029210408000000,029210408010000
2819,"如题14图, 在 $Rt△ABC$中,$∠C=90°$,$∠B=30°$,分别以点$A$和$B$为圆心,以大于$1/2AB$的长度为半径作弧，两弧交于点$M$和$N$，过点$M$和$N$作直线分别交$AB$，$BC$于点$D$，$E$.若$CE=2$, 则$BE$的长度为        .",029210400000000,029210406000000,029210406030000,029210400000000,029210406000000,029210406010000,029210400000000,029210405000000,029210405040000
2820,"如题 15图, 四边形 $ABCD$是平行四边形, $∠B=120°$, $CD=CB=4$,点 $E$为$ BC$的中点, 连接$AE$，点$F$为线段$ AE$上的一个动点，连接$ DF$，则线段$ DF$长度的最小值为     .",029210400000000,029210408000000,029210408020000,029210400000000,029210408000000,029210408010000,029210400000000,029210405000000,029210405040000
2821,"解不等式组$2x+6>4x$,$x/2+1>=x+2/3$",029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202010000
2822,"先化简,再求值:$(a/a+1-1)/a^2-2a+1/a^2-1 $其中$a=2023$.",029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2823,"如题18图,在直角坐标系内,?已知点$A(-3, 1)$. (1)请画出由$△ABC$先向右平移3个单位，再向上平移1个单位得到的$△A?B?C?$，则平移的距离为??????????；(2)请画出$△ABC$关于原点$O$对称的图形$△A?B?C?$,则点$A?$的坐标为??????.",029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301020000
2824,"如题?19图,$AC$是四边形$ABCD$的对角线,$DE⊥AC$,$BF⊥AC$,垂足分别为$E$,$F$,且$AB=CD$,$AE=CF$.?证明:四边形$ABCD$为平行四边形.",029210400000000,029210408000000,029210408020000,029210400000000,029210408000000,029210408010000,029210400000000,029210408000000,029210408030000
2825,五一长假期间，4位家长计划带领若干名学生去北京参观升旗礼.?他们联系了两家旅行社，报价均为每人?2000元.经协商，甲旅行社的优惠条件是：4位家长全额收费，学生都按八折收费；?乙旅行社的优惠条件是：家长、学生都按八五折收费.?假设这4位家长带领$x$名学生去旅游，甲、乙两家旅游行社的收费分别是$y?$元和$?y?$元. (1)分别求甲、乙两家旅行社的收费$y?$和$y?$关于?$x$的关系式；(2)4名家长选择哪家旅行社会更划算，请说明理由.,029210200000000,029210202000000,029210202030000,029210200000000,029210201000000,029210201010000,029210200000000,029210201000000,029210201020000
2826,"整体代换作为一种数学思想方法在代数式化简求值中比较常用. (1)已知:$xy=-2$,$2x-y=6$, 求代数式$4x^3y-4x^2y^2+xy^3$的值；(2)边长为$a, b(a>b)$的长方形的周长为16,面积为15, 求代数式$a^3b-ab^3$的值.",029210200000000,029210204000000,029210204040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2827,经调研发现，目前市场上有$A$，$B$两种类型的笔记本比较畅销.?某超市计划最多投入6900元购进$A$，$B$两种类型的笔记本共?500本，其中B型笔记本的进货单价比$A$型笔记本的进货单价多?3元；?用?2400元购进$A$型笔记本与用3000元购进$?B$型笔记本的数量相同. (1)求$A$，$B$两种类型笔记本的进货单价；(2)若$A$型笔记本每本的售价定为?16元，$B$型笔记本每本的售价定为?20元，该超市计划购进$A$型笔记本$m$本，两种类型的笔记本全部销售后可获利润为$y$元.,029210200000000,029210201000000,029210201010000,029210200000000,029210201000000,029210201020000,029210200000000,029210202000000,029210202030000
2828,"在等边$△ABC$中,$AB=6$,?点$?D$是射线$?CB$上一点,连接$AD$.(1)如题23图-1,?当点$D$在线段?$CB$上时,?在线段?$AC$上取一点$?E$,?使得$?CE=BD$,求证:$AD=BE$;(2)如题23图-2,当点$D$在$CB$延长线上时,将线段$AD$绕点$A$逆时针旋转角度θ(0°<θ<180°)得到线段?$AF$,?连接$BF$,$ CF$.",029210400000000,029210407000000,029210407050000,029210400000000,029210406000000,029210406080000,029210400000000,029210405000000,029210405040000
2829,在下列图形中，是中心对称图形的是（　　）,029210300000000,029210301000000,029210301050000,029210300000000,029210301000000,029210301020000,029210300000000,029210301000000,029210301010000
2830,下列交通标志中，是中心对称图形的是（　　）,029210300000000,029210301000000,029210301050000,029210300000000,029210301000000,029210301020000,029210300000000,029210301000000,029210301010000
2831,剪纸艺术是中国最古老的民间艺术之一，先后入选中国国家级非物质文化遗产名录和人类非物质文化遗产代表作名录．以下剪纸图案中，是中心对称图形的是（　　）,029210300000000,029210301000000,029210301050000,029210300000000,029210301000000,029210301020000,029210300000000,029210301000000,029210301010000
2832,下列图形中，既是轴对称图形又是中心对称图形的是（　　）,029210300000000,029210301000000,029210301050000,029210300000000,029210301000000,029210301040000,029210300000000,029210301000000,029210301010000
2833,"已知$a＞b$,下列不等式成立的是（　　）",029210300000000,029210302000000,029210302030000,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202060000
2834,"若$x＜y$,且$ax＜ay$,则（　　）",029210300000000,029210302000000,029210302030000,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202060000
2835,"若$a＜b$,则下列变形错误的是（　　）",029210300000000,029210302000000,029210302030000,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202060000
2836,下列说法不一定成立的是（　　）,029210300000000,029210302000000,029210302030000,029210200000000,029210202000000,029210202010000,029210200000000,029210202000000,029210202060000
2837,在直角坐标系中，点$P（-2，3）$向右平移4个单位长度后的坐标为（　　）,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301020000
2838,在直角坐标系中，点$P（0，2）$向左平移3个单位长度后的坐标为（　　）,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301020000
2839,在平面直角坐标系中，将点$P（3，2）$向左平移2个单位长度，再向上平移2个单位长度所得到的点坐标为（　　）,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301020000
2840,线段$MN$是由线段$EF$经过平移得到的，若点$E（-1，3）$的对应点$M（2，5）$，则点$F（-3，-2）$的对应点$N$的坐标是（　　）,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301020000
2841,如图所示的地面由正六边形和四边形两种地砖镶嵌而成，则$∠BAD$的度数为（　　）,029210400000000,029210401000000,029210401010000,029210400000000,029210401100000,029210401150000,029210300000000,029210303000000,029210303030000
2842,如图，蜂巢可近似成是由多个正六边形密铺而成的，正六边形的内角和为（　　）,029210300000000,029210303000000,029210303030000,029210300000000,029210301000000,029210301010000,029210400000000,029210401100000,029210401120000
2843,下列正多边形中，能够铺满地面的是（　　）,029210300000000,029210303000000,029210303030000,029210300000000,029210301000000,029210301010000,029210300000000,029210303000000,029210303060000
2844,小明家住黄山市，小明的爸爸刚在市区买了一套住房，带着小明去选地砖准备装修，看着满目美丽的正三角形，正方形、正六边形、正八边形地砖，不知道选哪种好，但是爸爸告诉小明：有一种地砖是不能单独铺满地面的，必须与另外一种形状的地砖混合使用，让小明指出这种地砖，小明略加思考便选出来了，小明选择的地砖的形状是（　　）,029210300000000,029210303000000,029210303030000,029210300000000,029210301000000,029210301010000,029210300000000,029210303000000,029210303060000
2845,式子从左到右的变形中，属于因式分解的是（　　）,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2846,下列各式从左到右的变形是因式分解的是（　　）,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2847,下列多项式不能进行因式分解的是（　　）,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2848,下列从左边到右边的变形中，是因式分解的是（　　）,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2849,用反证法证明命题：“已知$△ABC$，$AB=AC$，求证：$∠B＜90°$．”第一步应先假设（　　）,029210200000000,029210204000000,029210204050000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2850,利用反证法证明“在三角形的内角中，至少有一个角大于或等于60°”，应先假设（　　）,029210200000000,029210204000000,029210204050000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2851,用反证法证明命题：“等腰三角形的底角是锐角”时，第一步可以假设（　　）,029210200000000,029210204000000,029210204050000,029210400000000,029210407000000,029210407020000,029210400000000,029210401000000,029210401010000
2852,用反证法证明命题：“在$△ABC$中，$∠A≠∠B$，则$AC≠BC$”．应先假设（　　）,029210200000000,029210204000000,029210204050000,029210400000000,029210404000000,029210404010000,029210400000000,029210401000000,029210401010000
2853,将一副三角尺按如图所示的方式叠放，则$∠1$的度数为（　　）,029210400000000,029210401000000,029210401010000,029210400000000,029210404000000,029210404010000,029210300000000,029210301000000,029210301010000
2854,将一副直角三角尺，按如图所示位置摆放，使60°角所对的直角边和含45°角的三角尺的直角边放在同一条直线上，则$∠1$的度数是（　　）,029210400000000,029210401000000,029210401010000,029210400000000,029210404000000,029210404010000,029210300000000,029210301000000,029210301010000
2855,体育课上的侧压腿动作（如图1）可以抽象为几何图形（如图2），如果$∠1=110°$，则$∠2$等于（　　）,029210400000000,029210401000000,029210401010000,029210300000000,029210301000000,029210301010000,029210400000000,029210404000000,029210404010000
2856,如图，$∠1=45°$，$∠3=100°$，则$∠2$的度数为（　　）,029210400000000,029210401000000,029210401010000,029210300000000,029210301000000,029210301010000,029210400000000,029210404000000,029210404010000
2857,在式子$a-b/2$，$2/5$，$a-b/a+2b$，$3/m$中，分式有（　　）,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2858,下列式子：①$1/x$，②$x/3$，③$4/3b^3+5$，④$x/x^2-y^2$，其中是分式的有（　　）,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2859,"下列各式中，是分式的有（　　）$-3/2x$,$4/x-y$，$x+y$,$x^2+1/π$，$7/8$，$5b/3a$",029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2860,下列各式中，是分式的是（　　）,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2861,如图，$D$、$E$分别是$△ABC$的边$AB$、$AC$的中点，若$DE=4$，则$BC$的值为（　　）,029210400000000,029210404000000,029210404050000,029210400000000,029210404000000,029210404010000,029210300000000,029210301000000,029210301010000
2862,如图，$BD$是$△ABC$的中线，$E$，$F$分别是$BD$，$BC$的中点，连接$EF$．若$AD=4$，则$EF$的长为（　　）,029210400000000,029210404000000,029210404050000,029210400000000,029210404000000,029210404010000,029210300000000,029210301000000,029210301010000
2863,如图，在$△ABC$中，点$D$，$E$分别是$AC$，$BC$的中点，以点$A$为圆心，$AD$为半径作圆弧交$AB$于点$F$．若$AD=7$，$DE=5$，则$BF$的长为（　　）,029210400000000,029210404000000,029210404050000,029210400000000,029210404000000,029210404010000,029210300000000,029210301000000,029210301010000
2864,如图，在四边形$ABCD$中，点$P$是边$CD$上的动点，点$Q$是边$BC$上的定点，连接$AP$，$PQ$，$E$，$F$分别是$AP$，$PQ$的中点，连接$EF$．点$P$在由$C$到$D$运动过程中，线段$EF$的长度（　　）,029210400000000,029210401100000,029210401150000,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301080000
2865,"已知不等式组$x-a＞2$,$b-2x＞0$的解集为$-1＜x＜1$，那么$（a+b）^2023$的值等于（　　）",029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202010000
2866,"关于x的不等式组$x-a＜1$,$x+b＞2$的解集是$0＜x＜4$，则$b-a$的值是（　　）",029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202010000
2867,"不等式组$2x-1＞1$,$2-x≥0$的解集在数轴上表示为（　　）",029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202010000
2868,"关于x的不等式组$x-a＞0$,$2x-5＜1-x$有且仅有5个整数解，则$a$的取值范围是（　　）",029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202010000
2869,一个正多边形的每个内角为135°，则这个正多边形的边数为,029210300000000,029210303000000,029210303030000,029210400000000,029210401100000,029210401120000,029210300000000,029210301000000,029210301010000
2870,若一个多边形的内角和为360°，则这个多边形的边数为,029210400000000,029210401100000,029210401120000,029210300000000,029210301000000,029210301010000,029210300000000,029210303000000,029210303030000
2871,将一个正方形和一个正六边形按如图所示放置，则$∠BAC$=,029210400000000,029210401000000,029210401010000,029210300000000,029210303000000,029210303030000,029210300000000,029210301000000,029210301010000
2872,一个正$n$边形的内角和等于900°，则$n$=,029210400000000,029210401100000,029210401120000,029210300000000,029210301000000,029210301010000,029210300000000,029210303000000,029210303030000
2873,"若分式$x-1$,$2x+2$的值为零，则$x$的值为",029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2874,当$x=$时，分式$|x|-3/x-3$的值为0．,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2875,若分式$x-2/x-3$的值为0，则$x$的值是,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2876,若分式$x-3/x$的值为零，则$x$的值为,029210200000000,029210205000000,029210205020000,029210200000000,029210205000000,029210205030000,029210200000000,029210202000000,029210202010000
2877,命题：“直角三角形中，30°的锐角所对的直角边等于斜边的一半”的逆命题是,029210200000000,029210204000000,029210204080000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2878,命题“等腰三角形有两个角相等”的逆命题是,029210200000000,029210204000000,029210204080000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2879,命题“等边对等角”的逆命题是“,029210200000000,029210204000000,029210204080000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2880,命题“两直线平行，同旁内角互补”的逆命题是命题（填“真“或“假”）．,029210200000000,029210204000000,029210204080000,029210200000000,029210204000000,029210204060000,029210200000000,029210204000000,029210204010000
2881,"如图，在$Rt△ABC$中，$∠ACB=90°$，$∠B=30°$，$CD⊥AB$于$D$，若$AB=16cm$,则$AD=cm$.",029210400000000,029210406000000,029210406030000,029210400000000,029210406000000,029210406010000,029210400000000,029210401000000,029210401020000
2882,如图，在$Rt△ABC$中，$∠C=90°$，$∠A=30°$，分别以点$A$，$B$为圆心，大于线段$AB$长度一半的长为半径画弧交于$M$，$N$两点，连结$MN$分别交$AB$，$AC$于点$E$，$D$，若$AD=8$，则$AB$的长为,029210400000000,029210406000000,029210406030000,029210400000000,029210406000000,029210406010000,029210400000000,029210401000000,029210401020000
2883,如图，在$Rt△ABC$中，$∠C=90°$，$∠B=30°$，边$AB$的垂直平分线$DE$与$BC$相交于点$D$，$CD=3$，则$BC$的长为,029210400000000,029210406000000,029210406030000,029210400000000,029210406000000,029210406010000,029210400000000,029210401000000,029210401020000
2884,如图，$∠AOP=∠BOP=15°$，$PC∥OA$，$PD⊥OA$，若$PC=4$，则$PD$的长为,029210300000000,029210301000000,029210301080000,029210300000000,029210301000000,029210301010000,029210400000000,029210406000000,029210406090000
2885,如图，三角形$ABC$的面积为15，$AB$的长为5，$P$为直线$AB$上一动点，连接$PC$，则线段$PC$的最小值是,029210400000000,029210402000000,029210402020000,029210300000000,029210301000000,029210301010000,029210400000000,029210404000000,029210404010000
2886,如图，在$Rt△ABC$中，$∠B=90°$，$∠ACB=30°$，$BC=3$．点$P$为$BC$边上任意一点，连结$PA$，以$PA$，$PC$为邻边作$?PAQC$，连结$PQ$，则$PQ$的最小值为,029210400000000,029210404100000,029210404100000,029210300000000,029210301000000,029210301010000,029210400000000,029210406000000,029210406030000
2887,如图，在$Rt△ABC$中，$∠B=90°$，$AB=3$，$BC=4$，点$D$在$BC$上，以$AC$为对角线$?ADCE$中，$DE$最小的值是,029210300000000,029210301000000,029210301010000,029210400000000,029210401100000,029210401150000,029210400000000,029210406000000,029210406030000
2888,如图，在$Rt△ABC$中，$∠BAC=90°$，$AB=6$，$BC=10$，$P$为$BC$边上任意一点（点$P$与点$C$不重合），连接$PA$，以$PA$，$PC$为邻边作平行四边形$PAQC$，连接$PQ$，则$PQ$长的最小值是,029210400000000,029210408000000,029210408020000,029210400000000,029210408000000,029210408030000,029210300000000,029210301000000,029210301010000
2889,"解不等式组：$x+1＞4x+7$,$5x-4/3≤x$",029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202010000
2890,"解不等式组：$5x+1＞3(x-1)$,$1/2x＜3$",029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202010000
2891,解不等式（组），并把（2）的解集在数轴上表示出来．,029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202010000
2892,"解不等式组：$x-2≤1$,$x+1/2-2x+1/3＜1$",029210200000000,029210202000000,029210202060000,029210200000000,029210202000000,029210202070000,029210200000000,029210202000000,029210202010000
2893,先化简，再求值：$x^2/x^2-1÷(1/x-1+1)$，其中 $x=(1/2)-1+(-2022)^0$．,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2894,先化简，再求值：$(1+1/a+1)÷a+2/a^2-1$．请从：1，-1，2，-2四个数中选择一个合适的数作为$a$的值代入求值．,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2895,先化简，再求值：$（1/x-1+1）÷x^2-1/x^2-2x+1$，其中$x=3$．,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2896,已知：$A=(3x/x-1-x/x+1)÷x/x^2-1$，先化简$A$，再从$-1＜x≤2$中取一个合适的值代入，求$A$的值．,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204020000
2897,如图，在平面直角坐标系中，$A（-1，4）$，$B（-4，0）$，$C（-1，0）$．,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301010000
2898,如图，在平面直角坐标系中．,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301010000
2899,如图，已知单位长度为1的方格中有个$△ABC$．,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301010000
2900,如图方格纸中每个小正方形的边长都是1个单位长度，在方格纸中建立如图所示的平面直角坐标系，$△ABC$的顶点都在格点上，且三个顶点的坐标分别为$A（0，3）$，$B（3，4）$，$C（2，2）$．,029210300000000,029210301000000,029210301010000,029210300000000,029210301000000,029210301060000,029210300000000,029210301000000,029210301010000
2901,如图所示，以$△ABC$的三边在$BC$的同侧分别作三个等边三角形，即：$△ABD$，$△BCE$，$△ACF$，求证：四边形$ADEF$是平行四边形．,029210400000000,029210408000000,029210408020000,029210400000000,029210408000000,029210408030000,029210300000000,029210301000000,029210301010000
2902,如图，$E$，$F$是四边形$ABCD$的对角线$AC$上两点，$AF=CE$，$DF=BE$，$DF∥BE$．求证：,029210400000000,029210408000000,029210408020000,029210400000000,029210408000000,029210408030000,029210300000000,029210301000000,029210301010000
2903,如图，在四边形$ABCD$中，$AE⊥BD$，$CF⊥BD$，垂足分别为点$E$，$F$．,029210300000000,029210301000000,029210301010000,029210400000000,029210401100000,029210401150000,029210400000000,029210401000000,029210401060000
2904,如图，已知：$AB∥CD$，$BE⊥AD$，垂足为点$E$，$CF⊥AD$，垂足为点$F$，并且$AE=DF$．,029210300000000,029210301000000,029210301010000,029210400000000,029210401100000,029210401150000,029210400000000,029210401000000,029210401060000
2905,某城市为了节约用水，采用分段收费标准，若某户居民每月应交水费$y$（元）与用水量$x$（吨）之间关系的图象如图所示，根据图形回答：,029210200000000,029210203000000,029210203070000,029210200000000,029210203000000,029210203080000,029210200000000,029210203000000,029210203030000
2906,某地出租车计费方法如图所示，$x（km）$表示行驶里程，$y（元）$表示车费，请根据图象回答下面的问题：,029210200000000,029210203000000,029210203070000,029210200000000,029210203000000,029210203080000,029210200000000,029210203000000,029210203030000
2907,某学校要在甲、乙两家印刷厂中选择一家印制一批《学生手册》，甲印刷厂提出：每本收2元印刷费，另收600元制版费；乙印刷厂提出：每本收3元印刷费，不收制版费．,029210200000000,029210203000000,029210203070000,029210200000000,029210203000000,029210203080000,029210200000000,029210203000000,029210203030000
2908,第1题：某学校计划在总费用2300元的限额内，租用汽车送234名学生和6名教师集体外出研学，每辆汽车上至少要有1名教师．现有甲、乙两种大客车，它们的载客量和租金如下表：,029210200000000,029210203000000,029210203070000,029210200000000,029210203000000,029210203080000,029210200000000,029210203000000,029210203030000
2909,"整体思想是数学解题中常见的一种思想方法：下面是某同学对多项式$（x^2+2x）（x^2+2x+2）+1$进行因式分解的过程．将“$x^2+2x$”看成一个整体，令$x^2+2x=y$,则$原式=y（y+2）+1=y^2+2y+1=（y+1）^2$，再将“$y$”还原即可．解：设$x^2+2x=y$.$原式=y（y+2）+1=y^2+2y+1=（y+1）^2=（x^2+2x+1）^2$．",029210200000000,029210204000000,029210204040000,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000
2910,阅读下列材料：在因式分解中，把多项式中某些部分看作一个整体，用一个新的字母代替（即换元），不仅可以简化要分解的多项式的结构，而且能使式子的特点更加明显，便于观察处如何进行因式分解，这种方法就是换元法．,029210200000000,029210205000000,029210205040000,029210200000000,029210204000000,029210204010000,029210200000000,029210204000000,029210204040000
2911,某电脑经销商今年二、三月销售$A$型和$B$型电脑情况如下表：,029210200000000,029210203000000,029210203080000,029210300000000,029210304000000,029210304010000,029210200000000,029210201000000,029210201030000
2912,根据以下信息，探索完成任务：飞盘运动由于门槛低、限制少，且具有较强的团体性和趣味性，在全国各地悄然兴起，深受年轻人喜爱，某商家拟用620元购进30个海绵飞盘和50个橡胶飞盘，已知橡胶飞盘的进货单价比海绵飞盘的进价单价多6元．,029210200000000,029210201000000,029210201030000,029210200000000,029210202000000,029210202030000,029210200000000,029210203000000,029210203080000
2913,王林在步行街摆摊出售$A$，$B$两款摆件．已知B款摆件的进价比$A$款摆件多10元，150元购进的$A$款摆件与200元购进的$B$款摆件数量相同．,029210200000000,029210201000000,029210201030000,029210200000000,029210202000000,029210202030000,029210200000000,029210203000000,029210203080000
2914,如图，在$△ABC$和$△ADE$中，$AB=AC$，$AD=AE$，$∠BAC=∠DAE=90°$．,029210400000000,029210405000000,029210405040000,029210300000000,029210301000000,029210301010000,029210400000000,029210406000000,029210406080000
2915,已知$∠ACD=90°$，$MN$是过点$A$的直线，$AC=DC$，且$DB⊥MN$于点$B$，如图（1）．易证$BD+AB=2^1/2CB$，过程如下：,029210400000000,029210406000000,029210406030000,029210400000000,029210406000000,029210406010000,029210300000000,029210301000000,029210301010000
2916,把两个全等的直角三角板的斜边重合，组成一个四边形$ACBD$以$D$为顶点作$∠MDN$，交边$AC$、$BC$于$M$、$N$．,029210300000000,029210301000000,029210301010000,029210400000000,029210401100000,029210401150000,029210400000000,029210406000000,029210406080000
2917,在$△ABC$中，$∠ACB=90°$，$AC=BC$，直线$MN$经过点$C$，且$AD⊥MN$于$D$，$BE⊥MN$于$E$．,029210400000000,029210406000000,029210406030000,029210400000000,029210406000000,029210406010000,029210300000000,029210301000000,029210301010000
2918,如图，菱形$ABCD$的对角线$AC$、$BD$相交于点$O$，过点$D$作$DH⊥AB$于点$H$，连接$OH$，若$OA=6$，$S菱形ABCD=48$，则$OH$的长为（    ）,029210400000000,029210408000000,029210408040000,029210400000000,029210406000000,029210406010000,029210400000000,029210402000000,029210402020000
